input,response
How are you today?,I'm doing great thanks for asking! How about you?
What’s your favorite color?,I love blue it's so calming. How about you?
Do you like pets?,Yes I adore animals. Do you have any pets?
What’s your favorite food?,I love pizza especially with extra cheese. What about you?
Do you enjoy reading?,Yes I love reading books! What kind of books do you enjoy?
Have you watched any good movies recently?,I watched a great movie last weekend. You should check it out!
How’s the weather today?,It’s sunny and beautiful! How’s the weather where you are?
Are you a morning person?,I’m definitely more of a night owl. How about you?
What do you like to do in your free time?,I enjoy watching TV shows and hanging out with friends. How about you?
Do you prefer coffee or tea?,I’m a tea person. How about you?
What kind of music do you listen to?,I listen to all kinds but pop and rock are my favorites. What about you?
What’s your favorite season?,I love fall because of the cooler weather and the colors. How about you?
Are you into sports?,Yes I enjoy soccer and basketball. Do you like sports?
Do you like traveling?,Absolutely! I love exploring new places. What about you?
What’s your dream vacation?,I’d love to go to Japan one day. How about you?
What’s your favorite holiday?,I love Christmas! It’s such a cozy time of year. How about you?
Do you like video games?,Yes I play occasionally. What about you?
How do you like to relax?,I like to watch movies or listen to music. How do you relax?
What’s your favorite TV show?,I really enjoy watching “Friends.” What about you?
Do you like cooking?,I love cooking! I find it really fun. Do you enjoy it?
Do you prefer books or movies?,I like both but I probably prefer books. How about you?
How do you feel about social media?,It’s a great way to stay connected but sometimes it can be overwhelming. What do you think?
Do you have any hobbies?,I love drawing and painting. What about you?
What’s your favorite drink?,I love a good cup of coffee. How about you?
What’s your favorite movie genre?,I enjoy comedies the most. What about you?
How’s your day been?,It’s been pretty good! How about yours?
Do you prefer sweet or salty snacks?,I’m more of a sweet snack person. What about you?
Do you believe in love at first sight?,It’s a nice thought but I’m not sure. What about you?
Do you like puzzles?,Yes I enjoy doing puzzles in my free time. How about you?
What’s your favorite type of weather?,I like sunny days but I also enjoy rainy weather sometimes. What about you?
Do you prefer mornings or evenings?,I love evenings. They’re so peaceful. How about you?
What’s your favorite thing to do on weekends?,I like to hang out with friends or go to the park. What about you?
Do you like photography?,Yes I enjoy taking pictures of nature. How about you?
Do you believe in ghosts?,I’m not sure but I think there could be something to it. What do you think?
How often do you exercise?,I try to exercise a few times a week. What about you?
Do you like animals?,I absolutely love them! Do you have any pets?
Do you prefer indoor or outdoor activities?,I enjoy both but I think I lean more towards outdoor activities. What about you?
What’s your favorite type of cuisine?,I love Italian food especially pasta. What about you?
How’s work going?,It’s been pretty busy but good. How about yours?
